KOI	RPLANET	PER	UPER	A	TPLANET	MSTAR	TSTAR	RSTAR	RR
13.01	22.77	1.7635877	0.000001	0.037	3320	1.83	8848	2.68	0.07799
141.01	5.42	2.6242336	0.0000016	0.037	1202	0.97	5425	0.93	0.05329
183.01	11.56	2.684329	3.00E-07	0.037	1221	1.02	5722	0.87	0.12237
500.03	1.53	3.0721821	0.0000217	0.037	851	0.66	4613	0.65	0.02172
755.01	2.89	2.5256118	0.0000132	0.037	1345	1.08	5781	1.03	0.02577
756.03	1.53	2.5665747	0.0000649	0.037	1276	1.07	5787	0.92	0.01519
812.01	2.19	3.3402194	0.0000121	0.037	701	0.59	4097	0.56	0.03599
1161.03	1.24	2.971365	0.0000478	0.037	1069	0.79	5109	0.83	0.01371
1448.01	24.25	2.4865874	0.0000397	0.037	1405	1.08	5658	1.17	0.18957
1541.01	23.16	2.3792823	0.000082	0.037	1468	1.1	6164	1.08	0.19685
1588.01	1.2	3.5174817	0.0000136	0.037	689	0.57	4106	0.54	0.02061
1618.01	0.77	2.3643203	0.0000365	0.037	1597	1.22	6134	1.29	0.00547
1637.01	1.78	2.9704393	0.0000433	0.037	924	0.77	4894	0.68	0.02408
2146.01	1.62	2.9490167	0.0000251	0.037	973	0.78	4825	0.77	0.01922
2250.01	2.68	2.9353621	0.0000182	0.037	949	0.77	4749	0.76	0.03241
2491.01	1.4	2.6683619	0.0000374	0.037	1163	0.94	5542	0.84	0.01537
223.01	2.52	3.1774266	0.0000062	0.038	950	0.92	5128	0.67	0.03449
510.01	2.42	2.9403271	0.000015	0.038	1200	0.86	5355	0.98	0.02266
517.01	3.54	2.7523623	0.0000047	0.038	1332	1.07	5510	1.14	0.02844
531.01	2.83	3.6874687	0.0000022	0.038	631	0.56	3946	0.5	0.05203
733.03	1.36	3.1329431	0.0000299	0.038	917	0.74	5038	0.65	0.01922
767.01	12.18	2.8165052	5.00E-07	0.038	1200	1.03	5431	0.95	0.11722
840.01	8.1	3.0403293	0.0000011	0.038	976	0.94	4916	0.77	0.0965
1422.03	1.03	3.6215293	0.0000706	0.038	605	0.53	3712	0.52	0.0182
1781.02	1.94	3.0051593	0.0000069	0.038	981	0.82	4977	0.76	0.02338
1833.01	1.4	3.6929732	0.0000141	0.038	694	0.54	4300	0.51	0.02527
1883.01	1	2.7072899	0.0000207	0.038	1449	1.03	6063	1.12	0.00819
2063.01	1.33	3.0072567	0.000045	0.038	1055	0.82	5497	0.72	0.01695
2225.01	3.3	2.7878755	0.0000264	0.038	1455	0.97	4655	1.91	0.01587
2363.01	1.46	3.1386912	0.0000457	0.038	965	0.71	5064	0.71	0.01893
2472.01	1.89	2.60755	0.0000252	0.038	1309	1.08	5856	0.98	0.01773
2579.01	1.39	2.7296513	0.0000522	0.038	1402	0.99	5938	1.09	0.01174
2601.01	0.92	2.6222502	0.0000686	0.038	1503	1.07	6039	1.21	0.007
2.01	22.29	2.2047354	1.00E-07	0.039	2303	1.36	6264	2.71	0.07545
161.01	2.68	3.1055091	0.0000039	0.039	981	1.09	4915	0.8	0.03077
250.03	1.13	3.543867	0.0000323	0.039	761	0.63	4486	0.58	0.01801
537.01	2.02	2.8202099	0.0000146	0.039	1260	1	5889	0.92	0.02016
543.02	1.39	3.1378515	0.0000268	0.039	987	0.91	5166	0.73	0.0174
571.03	1.31	3.8867999	0.0000193	0.039	625	0.54	3881	0.52	0.02315
800.01	3.27	2.7114825	0.0000148	0.039	1329	1.07	5938	1	0.02983
